max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores,fitness_list,fitness_median
100,50,scramble_mutation_optimized,3.0,1,1.1,73176.67,2690.93,88.3,0.32,"[71700.0, 76300.0, 73100.0, 75900.0, 70000.0, 74400.0, 72400.0, 72500.0, 70400.0, 71500.0, 74900.0, 71700.0, 74100.0, 71400.0, 72500.0, 72300.0, 74100.0, 78100.0, 75100.0, 64700.0, 74200.0, 77300.0, 69700.0, 71900.0, 72400.0, 73600.0, 72300.0, 76800.0, 72700.0, 77300.0]","[71700.0, 76300.0, 73100.0, 75900.0, 70000.0, 74400.0, 72400.0, 72500.0, 70400.0, 71500.0, 74900.0, 71700.0, 74100.0, 71400.0, 72500.0, 72300.0, 74100.0, 78100.0, 75100.0, 64700.0, 74200.0, 77300.0, 69700.0, 71900.0, 72400.0, 73600.0, 72300.0, 76800.0, 72700.0, 77300.0]",72600.0
100,50,scramble_mutation_optimized,2.0,100,1.2,72583.33,2771.65,86.77,0.3,"[74700.0, 74100.0, 75800.0, 72500.0, 72900.0, 71200.0, 68500.0, 72400.0, 70000.0, 70200.0, 78000.0, 74500.0, 72800.0, 64600.0, 71200.0, 71200.0, 71800.0, 77500.0, 72300.0, 74900.0, 69600.0, 71700.0, 69500.0, 72400.0, 76900.0, 72400.0, 74100.0, 75800.0, 72300.0, 71700.0]","[74700.0, 74100.0, 75800.0, 72500.0, 72900.0, 71200.0, 68500.0, 72400.0, 70000.0, 70200.0, 78000.0, 74500.0, 72800.0, 64600.0, 71200.0, 71200.0, 71800.0, 77500.0, 72300.0, 74900.0, 69600.0, 71700.0, 69500.0, 72400.0, 76900.0, 72400.0, 74100.0, 75800.0, 72300.0, 71700.0]",72400.0
100,50,scramble_mutation_optimized,3.0,10,1.1,72380.0,2326.43,87.47,0.32,"[71200.0, 74400.0, 69400.0, 69500.0, 72400.0, 74200.0, 74200.0, 72600.0, 69600.0, 70100.0, 71100.0, 70200.0, 70000.0, 72300.0, 72600.0, 72000.0, 78800.0, 75700.0, 73700.0, 72300.0, 67800.0, 72700.0, 74300.0, 75400.0, 71600.0, 72300.0, 72400.0, 72200.0, 76200.0, 70200.0]","[71200.0, 74400.0, 69400.0, 69500.0, 72400.0, 74200.0, 74200.0, 72600.0, 69600.0, 70100.0, 71100.0, 70200.0, 70000.0, 72300.0, 72600.0, 72000.0, 78800.0, 75700.0, 73700.0, 72300.0, 67800.0, 72700.0, 74300.0, 75400.0, 71600.0, 72300.0, 72400.0, 72200.0, 76200.0, 70200.0]",72300.0
100,50,scramble_mutation_optimized,2.0,1,1.1,72523.33,2455.16,88.57,0.37,"[71100.0, 67900.0, 71100.0, 74500.0, 71400.0, 71200.0, 69200.0, 72400.0, 74000.0, 71300.0, 72900.0, 68900.0, 72800.0, 70600.0, 72700.0, 74100.0, 76800.0, 69700.0, 72100.0, 70500.0, 76700.0, 77700.0, 71400.0, 74500.0, 71700.0, 73400.0, 73100.0, 70400.0, 74000.0, 77600.0]","[71100.0, 67900.0, 71100.0, 74500.0, 71400.0, 71200.0, 69200.0, 72400.0, 74000.0, 71300.0, 72900.0, 68900.0, 72800.0, 70600.0, 72700.0, 74100.0, 76800.0, 69700.0, 72100.0, 70500.0, 76700.0, 77700.0, 71400.0, 74500.0, 71700.0, 73400.0, 73100.0, 70400.0, 74000.0, 77600.0]",72250.0
100,50,scramble_mutation_optimized,3.0,1,1.3,72353.33,1878.43,90.13,0.31,"[74600.0, 73000.0, 71700.0, 76200.0, 69100.0, 72500.0, 71000.0, 75000.0, 72100.0, 74400.0, 75800.0, 72800.0, 72200.0, 71300.0, 71000.0, 71500.0, 71200.0, 69200.0, 72300.0, 73600.0, 72700.0, 71900.0, 74800.0, 73200.0, 74000.0, 73000.0, 69600.0, 70500.0, 71300.0, 69100.0]","[74600.0, 73000.0, 71700.0, 76200.0, 69100.0, 72500.0, 71000.0, 75000.0, 72100.0, 74400.0, 75800.0, 72800.0, 72200.0, 71300.0, 71000.0, 71500.0, 71200.0, 69200.0, 72300.0, 73600.0, 72700.0, 71900.0, 74800.0, 73200.0, 74000.0, 73000.0, 69600.0, 70500.0, 71300.0, 69100.0]",72250.0
100,50,scramble_mutation_optimized,3.0,1,1.2,72056.67,2093.11,88.43,0.31,"[73800.0, 73600.0, 70200.0, 74100.0, 69500.0, 66900.0, 70700.0, 71500.0, 74500.0, 71800.0, 74300.0, 74000.0, 73400.0, 71600.0, 75700.0, 69300.0, 70700.0, 73800.0, 68000.0, 74700.0, 74200.0, 71300.0, 73700.0, 72600.0, 72100.0, 72400.0, 72200.0, 70100.0, 70300.0, 70700.0]","[73800.0, 73600.0, 70200.0, 74100.0, 69500.0, 66900.0, 70700.0, 71500.0, 74500.0, 71800.0, 74300.0, 74000.0, 73400.0, 71600.0, 75700.0, 69300.0, 70700.0, 73800.0, 68000.0, 74700.0, 74200.0, 71300.0, 73700.0, 72600.0, 72100.0, 72400.0, 72200.0, 70100.0, 70300.0, 70700.0]",72150.0
100,50,scramble_mutation_optimized,3.0,200,1.2,72593.33,2580.17,89.63,0.31,"[70300.0, 78400.0, 67800.0, 70800.0, 73900.0, 69400.0, 76300.0, 71100.0, 75600.0, 68700.0, 75500.0, 75700.0, 71700.0, 72200.0, 73000.0, 75200.0, 71400.0, 71400.0, 69800.0, 73300.0, 74500.0, 74300.0, 69800.0, 70200.0, 73500.0, 71900.0, 70400.0, 74900.0, 70900.0, 75900.0]","[70300.0, 78400.0, 67800.0, 70800.0, 73900.0, 69400.0, 76300.0, 71100.0, 75600.0, 68700.0, 75500.0, 75700.0, 71700.0, 72200.0, 73000.0, 75200.0, 71400.0, 71400.0, 69800.0, 73300.0, 74500.0, 74300.0, 69800.0, 70200.0, 73500.0, 71900.0, 70400.0, 74900.0, 70900.0, 75900.0]",72050.0
100,50,scramble_mutation_optimized,2.0,100,1.1,71713.33,2216.56,87.1,0.3,"[75100.0, 70000.0, 74400.0, 73300.0, 71000.0, 73400.0, 74000.0, 71300.0, 75700.0, 71400.0, 72700.0, 74600.0, 73600.0, 71900.0, 72100.0, 74500.0, 72600.0, 71600.0, 71700.0, 67400.0, 69800.0, 69200.0, 69700.0, 68600.0, 72200.0, 68900.0, 70400.0, 69900.0, 67300.0, 73100.0]","[75100.0, 70000.0, 74400.0, 73300.0, 71000.0, 73400.0, 74000.0, 71300.0, 75700.0, 71400.0, 72700.0, 74600.0, 73600.0, 71900.0, 72100.0, 74500.0, 72600.0, 71600.0, 71700.0, 67400.0, 69800.0, 69200.0, 69700.0, 68600.0, 72200.0, 68900.0, 70400.0, 69900.0, 67300.0, 73100.0]",71800.0
100,50,scramble_mutation_optimized,2.0,10,1.3,72180.0,3162.43,84.8,0.28,"[71000.0, 66900.0, 71300.0, 74700.0, 69300.0, 68900.0, 71700.0, 76100.0, 71500.0, 74300.0, 74400.0, 70400.0, 74400.0, 73400.0, 71100.0, 76100.0, 69400.0, 72900.0, 71200.0, 71600.0, 76800.0, 78700.0, 72800.0, 71400.0, 64400.0, 72200.0, 69500.0, 67300.0, 76100.0, 75600.0]","[71000.0, 66900.0, 71300.0, 74700.0, 69300.0, 68900.0, 71700.0, 76100.0, 71500.0, 74300.0, 74400.0, 70400.0, 74400.0, 73400.0, 71100.0, 76100.0, 69400.0, 72900.0, 71200.0, 71600.0, 76800.0, 78700.0, 72800.0, 71400.0, 64400.0, 72200.0, 69500.0, 67300.0, 76100.0, 75600.0]",71650.0
100,50,scramble_mutation_optimized,2.0,1,1.2,72176.67,2855.72,89.37,0.3,"[70300.0, 70400.0, 78600.0, 78400.0, 69400.0, 74400.0, 73800.0, 73400.0, 73200.0, 71900.0, 71700.0, 73000.0, 70900.0, 71500.0, 73500.0, 76000.0, 70400.0, 69700.0, 70700.0, 71300.0, 69600.0, 70900.0, 67900.0, 72000.0, 69200.0, 78700.0, 67300.0, 74300.0, 70700.0, 72200.0]","[70300.0, 70400.0, 78600.0, 78400.0, 69400.0, 74400.0, 73800.0, 73400.0, 73200.0, 71900.0, 71700.0, 73000.0, 70900.0, 71500.0, 73500.0, 76000.0, 70400.0, 69700.0, 70700.0, 71300.0, 69600.0, 70900.0, 67900.0, 72000.0, 69200.0, 78700.0, 67300.0, 74300.0, 70700.0, 72200.0]",71600.0
